Date,Open,Close,High,Volume,Movement,Daily_Return,Volatility,Close_lag1,High_lag1,Volume_lag1,Daily_Return_lag1,Volatility_lag1
2011-05-04,0.47,0.46,0.47,639356000.0,1,0.0,3.7321525249300143,0.46,0.48,808000000.0,-6.122448979591832,3.7321525249300143
2011-05-05,0.46,0.46,0.47,544000000.0,0,0.0,3.7321525249300143,0.46,0.47,639356000.0,0.0,3.7321525249300143
2011-05-06,0.47,0.48,0.48,841080000.0,1,4.347826086956519,3.7927041010934195,0.46,0.47,544000000.0,0.0,3.7321525249300143
2011-05-09,0.48,0.49,0.49,706328000.0,0,2.083333333333326,3.895805133109947,0.48,0.48,841080000.0,4.347826086956519,3.7927041010934195
2011-05-10,0.49,0.49,0.49,690976000.0,0,0.0,1.9346774383835155,0.49,0.49,706328000.0,2.083333333333326,3.895805133109947
2011-05-11,0.49,0.49,0.5,616000000.0,0,0.0,1.9346774383835155,0.49,0.49,690976000.0,0.0,1.9346774383835155
2011-05-12,0.49,0.51,0.51,1224000000.0,0,4.081632653061229,2.1094925420127932,0.49,0.5,616000000.0,0.0,1.9346774383835155
2011-05-13,0.47,0.45,0.48,2025192000.0,0,-11.764705882352944,6.187424545198626,0.51,0.51,1224000000.0,4.081632653061229,2.1094925420127932
2011-05-16,0.45,0.44,0.45,728188000.0,0,-2.2222222222222254,5.924173478667453,0.45,0.48,2025192000.0,-11.764705882352944,6.187424545198626
2011-05-17,0.44,0.44,0.44,1420364000.0,0,0.0,5.924173478667453,0.44,0.45,728188000.0,-2.2222222222222254,5.924173478667453
2011-05-18,0.44,0.45,0.45,658844000.0,0,2.2727272727272707,6.195166887848479,0.44,0.44,1420364000.0,0.0,5.924173478667453
2011-05-19,0.45,0.44,0.45,650884000.0,0,-2.2222222222222254,5.352694635787226,0.45,0.45,658844000.0,2.2727272727272707,6.195166887848479
2011-05-20,0.44,0.45,0.45,575820000.0,0,2.2727272727272707,2.2475031209195233,0.44,0.45,650884000.0,-2.2222222222222254,5.352694635787226
2011-05-23,0.44,0.45,0.45,588000000.0,0,0.0,1.8834389047559146,0.45,0.45,575820000.0,2.2727272727272707,2.2475031209195233
2011-05-24,0.45,0.45,0.47,720372000.0,0,0.0,1.8834389047559146,0.45,0.45,588000000.0,0.0,1.8834389047559146
2011-05-25,0.45,0.45,0.46,545312000.0,0,0.0,1.5892648228907038,0.45,0.47,720372000.0,0.0,1.8834389047559146
2011-05-26,0.45,0.47,0.47,706436000.0,0,4.444444444444429,1.9933825837227641,0.45,0.46,545312000.0,0.0,1.5892648228907038
2011-05-27,0.47,0.48,0.48,658824000.0,0,2.127659574468077,1.9774675368699106,0.47,0.47,706436000.0,4.444444444444429,1.9933825837227641
2011-05-31,0.49,0.5,0.5,1200716000.0,1,4.166666666666674,2.1550460336265918,0.48,0.48,658824000.0,2.127659574468077,1.9774675368699106
