,Date,Open,Close,High,Volume,aggregate_sentiment_score,daily_return,conditional_volatility,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3,volatility_shocks
386,2023-05-10,4143.74,4137.64,4154.27,4057160000.0,0.18999999999999997,-0.0014721000834993158,0.5780828386179474,0.6258229621723367,0.6533340791138729,0.7072610970570629,-0.2948048927990775
404,2023-05-09,4124.25,4119.16,4130.35,3810140000.0,0.060000000000000005,-0.001234163787355312,0.5418256970991564,0.5780828386179474,0.6258229621723367,0.6533340791138729,-0.26307686280537096
411,2023-05-08,4136.97,4138.12,4142.29,3641640000.0,-0.77,0.00027798122780673686,0.5089269446782639,0.5418256970991564,0.5780828386179474,0.6258229621723367,-0.2584580026110722
420,2023-05-05,4084.72,4136.25,4147.02,4186270000.0,-0.11000000000000004,0.012615307781194355,0.47467559269746307,0.5089269446782639,0.5418256970991564,0.5780828386179474,1.2395327770876214
430,2023-05-04,4082.55,4061.21,4082.61,4920090000.0,-2.63,-0.005227125203610524,0.6903757660412324,0.47467559269746307,0.5089269446782639,0.5418256970991564,-0.14721898237356712
457,2023-05-03,4122.25,4090.75,4148.29,4246510000.0,1.32,-0.007641457941658075,0.6812430641589367,0.6903757660412324,0.47467559269746307,0.5089269446782639,0.2007309394241844
474,2023-05-02,4164.1,4119.58,4164.1,4486130000.0,-0.52,-0.01069138589371063,0.7195573007616041,0.6812430641589367,0.6903757660412324,0.47467559269746307,0.7374429593092544
494,2023-05-01,4166.79,4167.87,4186.91,3321370000.0,1.9500000000000002,0.0002591923279070765,0.8206962409713567,0.7195573007616041,0.6812430641589367,0.6903757660412324,-0.6729021391905874
503,2023-04-28,4129.62,4169.47,4170.06,4087800000.0,1.2300000000000002,0.00964979828652524,0.7490026380621154,0.8206962409713567,0.7195573007616041,0.6812430641589367,0.2739501970837299
518,2023-04-27,4075.29,4135.35,4138.24,3750550000.0,1.4000000000000001,0.014737601495844566,0.7928464234359446,0.7490026380621154,0.8206962409713567,0.7195573007616041,1.3950121061680312
557,2023-04-26,4087.78,4055.98,4089.66,3837030000.0,0.05999999999999994,-0.0077792836209385485,0.9536703014679507,0.7928464234359446,0.7490026380621154,0.8206962409713567,-0.22199833565621518
579,2023-04-25,4126.43,4071.62,4126.43,3978640000.0,-1.8499999999999999,-0.0132826680690089,0.9395391148971367,0.9536703014679507,0.7928464234359446,0.7490026380621154,1.020252933480763
614,2023-04-24,4132.06,4137.04,4142.41,3290940000.0,0.73,0.001205209992110367,1.0451400485362699,0.9395391148971367,0.9536703014679507,0.7928464234359446,-1.0875152348065735
621,2023-04-21,4132.14,4133.52,4138.02,3611750000.0,1.69,0.00033396738735863476,0.949157814704406,1.0451400485362699,0.9395391148971367,0.9536703014679507,-0.9005828519878795
632,2023-04-20,4130.47,4129.79,4148.56,3772080000.0,-1.52,-0.00016463017525857615,0.8631611224642929,0.949157814704406,1.0451400485362699,0.9395391148971367,-0.7404659935474951
656,2023-04-19,4139.33,4154.52,4162.56,3572560000.0,-0.07000000000000006,0.003669676010368951,0.7871821823818403,0.8631611224642929,0.949157814704406,1.0451400485362699,-0.5199598887906367
671,2023-04-18,4164.25,4154.87,4169.47,3536640000.0,1.91,-0.002252506453743197,0.73226740726866,0.7871821823818403,0.8631611224642929,0.949157814704406,-0.45977897051895805
685,2023-04-17,4137.16,4151.31,4151.72,3611180000.0,0.32999999999999996,0.0034202206344450168,0.681340364837098,0.73226740726866,0.7871821823818403,0.8631611224642929,-0.3796594495421603
688,2023-04-14,4140.1,4137.64,4163.18,3575690000.0,0.15000000000000005,-0.0005941885461703911,0.6383388612826338,0.681340364837098,0.73226740726866,0.7871821823818403,-0.3952353185780289
704,2023-04-13,4100.04,4146.22,4150.25,3596590000.0,1.3399999999999999,0.01126330474824643,0.5897160459022608,0.6383388612826338,0.681340364837098,0.73226740726866,0.8080953115488605
714,2023-04-12,4121.72,4091.94,4134.37,3633120000.0,-1.69,-0.007225139019632629,0.7190175079652287,0.5897160459022608,0.6383388612826338,0.681340364837098,0.08167956242776331
728,2023-04-11,4110.29,4108.93,4124.25,3665830000.0,0.29000000000000004,-0.00033087689676389564,0.7402751840846579,0.7190175079652287,0.5897160459022608,0.6383388612826338,-0.5408993885848485
731,2023-04-10,4085.19,4109.1,4109.5,3423650000.0,1.87,0.005852848949498141,0.6786629452714156,0.7402751840846579,0.7190175079652287,0.5897160459022608,-0.17535917746913693
742,2023-04-06,4081.14,4105.02,4107.31,3486690000.0,-0.49999999999999994,0.005851306252664835,0.6653594207341126,0.6786629452714156,0.7402751840846579,0.7190175079652287,-0.1576436988729582
750,2023-04-05,4094.5,4090.37,4099.68,3968020000.0,-0.92,-0.001008670167297621,0.6543647906678824,0.6653594207341126,0.6786629452714156,0.7402751840846579,-0.4050625064383617
759,2023-04-04,4128.02,4100.6,4133.12,4227800000.0,-0.7300000000000001,-0.0066424096782476995,0.6054850765631598,0.6543647906678824,0.6653594207341126,0.6786629452714156,0.14527368707200938
768,2023-04-03,4102.2,4124.5,4127.66,4234700000.0,1.91,0.005436107454536635,0.6401031780407799,0.6054850765631598,0.6543647906678824,0.6653594207341126,-0.16728444299296777
781,2023-03-31,4056.17,4109.31,4110.75,4525120000.0,4.2700000000000005,0.013101028803033484,0.6272065493233567,0.6401031780407799,0.6054850765631598,0.6543647906678824,1.1913954668675297
799,2023-03-30,4046.73,4050.83,4057.85,3930860000.0,1.61,0.0010131637149006505,0.7972024538459128,0.6272065493233567,0.6401031780407799,0.6054850765631598,-0.6330222088065325
808,2023-03-29,3999.53,4027.81,4030.59,4145250000.0,-0.53,0.007070830822621594,0.7284102606357723,0.7972024538459128,0.6272065493233567,0.6401031780407799,-0.10042647132629873
818,2023-03-28,3974.12,3971.27,3979.19,4014600000.0,-0.36,-0.0007171398951214129,0.7259181483723423,0.7284102606357723,0.7972024538459128,0.6272065493233567,-0.5118441400277717
828,2023-03-27,3982.92,3977.53,4003.83,4233540000.0,2.82,-0.0013532784991915159,0.6671288781485536,0.7259181483723423,0.7284102606357723,0.7972024538459128,-0.410260456847452
836,2023-03-24,3939.2,3970.98,3972.73,4583970000.0,-0.5499999999999999,0.008067627944760408,0.6184585135670438,0.6671288781485536,0.7259181483723423,0.7284102606357723,0.1883524304806689
843,2023-03-23,3959.2,3948.71,4007.65,4991600000.0,-1.02,-0.0026495251565972376,0.6586399081542457,0.6184585135670438,0.6671288781485536,0.7259181483723423,-0.333840819988809
853,2023-03-22,4002.04,3936.96,4039.48,4533010000.0,0.01999999999999999,-0.01626170652966985,0.6211081175993077,0.6586399081542457,0.6184585135670438,0.6671288781485536,2.427867551869419
860,2023-03-21,3975.88,4002.87,4009.08,4920240000.0,0.6900000000000001,0.0067884342585791775,0.9290623088909524,0.6211081175993077,0.6586399081542457,0.6184585135670438,-0.4692468973536432
868,2023-03-20,3917.46,3951.57,3956.62,5347140000.0,0.30999999999999994,0.008707172504633136,0.8884619550800252,0.9290623088909524,0.6211081175993077,0.6586399081542457,-0.11779058417887378
877,2023-03-17,3958.68,3916.63,3958.9,9354280000.0,-1.02,-0.010622227611223875,0.884554570374371,0.8884619550800252,0.9290623088909524,0.6211081175993077,0.45732027974152545
884,2023-03-16,3878.92,3960.28,3964.45,5695790000.0,1.99,0.020974910542109693,0.9407036157182869,0.884554570374371,0.8884619550800252,0.9290623088909524,3.302297734570764
