,Date,Open,Close,High,Movement,aggregate_sentiment_score,lagged_sentiment_score
114,2023-01-24,4001.73,4016.94,4023.91,0,-0.03,-0.33
115,2023-01-23,3978.13,4019.81,4039.31,1,-0.33,-0.05
116,2023-01-20,3909.04,3972.61,3972.95,1,-0.05,-1.41
117,2023-01-19,3911.84,3898.85,3922.93,0,-1.41,-1.87
118,2023-01-18,4002.25,3928.86,4014.15,1,-1.87,-0.24000000000000002
119,2023-01-17,3999.28,3990.96,4015.38,1,-0.24000000000000002,-0.85
120,2023-01-13,3960.6,3999.09,4003.94,0,-0.85,-1.12
121,2023-01-12,3977.57,3983.16,3997.76,1,-1.12,0.65
122,2023-01-11,3932.35,3969.61,3970.07,1,0.65,0.01999999999999999
123,2023-01-10,3888.57,3919.25,3919.83,0,0.01999999999999999,0.010000000000000064
124,2023-01-09,3910.82,3892.09,3950.57,1,0.010000000000000064,-0.72
125,2023-01-06,3823.37,3895.08,3906.18,1,-0.72,-1.97
126,2023-01-05,3839.73,3808.1,3839.73,0,-1.97,-0.39
127,2023-01-04,3840.36,3852.96,3873.15,1,-0.39,-1.08
128,2023-01-03,3853.29,3824.13,3878.45,1,-1.08,-1.76
129,2022-12-30,3829.06,3839.5,3839.85,0,-1.76,-0.22999999999999998
130,2022-12-29,3805.44,3849.28,3858.18,1,-0.22999999999999998,-0.85
131,2022-12-28,3829.56,3783.21,3848.32,1,-0.85,-0.24000000000000002
132,2022-12-27,3843.34,3829.25,3846.64,0,-0.24000000000000002,-0.12
133,2022-12-23,3815.11,3844.82,3845.8,0,-0.12,-0.21999999999999997
134,2022-12-22,3853.26,3822.38,3853.26,0,-0.21999999999999997,2.42
135,2022-12-21,3839.48,3878.43,3889.82,1,2.42,-0.72
136,2022-12-20,3810.46,3821.62,3838.23,0,-0.72,-0.44
137,2022-12-19,3853.79,3817.65,3854.86,1,-0.44,-0.33
138,2022-12-16,3890.9,3852.36,3890.9,0,-0.33,-1.96
139,2022-12-15,3958.37,3895.75,3958.37,0,-1.96,-0.26
140,2022-12-14,4015.54,3995.32,4053.76,0,-0.26,0.14999999999999997
141,2022-12-13,4069.37,4019.64,4100.95,1,0.14999999999999997,0.1
142,2022-12-12,3939.29,3990.56,3990.7,1,0.1,-0.17
143,2022-12-09,3954.16,3934.37,3977.02,0,-0.17,-1.12
144,2022-12-08,3947.79,3963.51,3974.18,1,-1.12,-0.9400000000000001
145,2022-12-07,3933.28,3933.91,3957.57,0,-0.9400000000000001,-0.6099999999999999
146,2022-12-06,3996.62,3941.26,4001.51,0,-0.6099999999999999,-0.009999999999999998
147,2022-12-05,4052.02,3998.84,4052.44,0,-0.009999999999999998,0.9199999999999999
148,2022-12-02,4040.16,4071.69,4080.47,0,0.9199999999999999,-1.92
149,2022-12-01,4087.13,4076.57,4100.5,1,-1.92,-0.92
